yaw: 164.4075101048594, pitch: 30.731431076882036, roll: -4.740913899729562
yaw: 165.74690421976376, pitch: 29.501632790269138, roll: -4.386104363727918
yaw: 167.1353778294851, pitch: 28.23665309265169, roll: -3.3094532498615723
yaw: 168.47070076320313, pitch: 28.251305677128947, roll: -2.868638186072495
yaw: 170.81546186988328, pitch: 28.83837575029339, roll: -1.9055140257044052
yaw: -165.6641009944611, pitch: -15.546295718958788, roll: -3.72082853515939
yaw: -165.88308692683557, pitch: -15.555709922734602, roll: -3.2478893547060306
yaw: -165.56761425961716, pitch: -15.172021482345235, roll: -2.971024463749697
yaw: -165.3618168841114, pitch: -14.594440698249628, roll: -2.981965000173234
yaw: -165.7160471235734, pitch: -14.560695546436508, roll: -3.27288317756736
yaw: -166.05574829969748, pitch: -13.573433590731739, roll: -3.092806294446078
yaw: -165.83538426283422, pitch: -13.689723680898462, roll: -2.9587633452775535
yaw: -165.45898170106142, pitch: -15.446959728302234, roll: -3.17745010706061
yaw: -165.72650670948687, pitch: -16.080184247306757, roll: -3.154132960470132
yaw: -165.94435896132163, pitch: -16.81599827199376, roll: -3.5509652052546175
yaw: 178.9784874750418, pitch: 27.994170413384847, roll: 1.1698474945608315
yaw: -165.82196987533985, pitch: -15.991020271495831, roll: -3.3017993871887334
yaw: -165.77264761890947, pitch: -15.122473993040542, roll: -3.171657942487731
yaw: -165.68699764671783, pitch: -15.568209595954395, roll: -3.277876357494141
yaw: -165.28667045341203, pitch: -14.17980091667255, roll: -2.9333427077666805
yaw: -164.81184874669253, pitch: -14.976566272842636, roll: -3.19671399627321
yaw: -165.01332281081775, pitch: -14.805663072738023, roll: -3.212339720583409
yaw: -164.3810726732956, pitch: -12.874348505878684, roll: -3.144177367172703
yaw: -164.90486851302578, pitch: -12.628358474243589, roll: -3.3991063395083367
yaw: -166.2777941801111, pitch: -11.142949375754263, roll: -3.5554271254167564
yaw: -164.93124534878228, pitch: -9.724499236241611, roll: -3.7460584349570505
yaw: -162.2292026067499, pitch: -9.797065987960446, roll: -3.74841591586346
yaw: -162.49611249047308, pitch: -10.747579725545682, roll: -3.6386834810429387
yaw: -163.39381394593968, pitch: -10.653550076102947, roll: -3.5526011313861003
yaw: -164.14195018657102, pitch: -10.909563271878447, roll: -3.4018016530508985
yaw: -164.57142663514722, pitch: -11.144429741898758, roll: -3.3366470095554983
yaw: -163.14130437120278, pitch: -10.683850866303052, roll: -3.2069427960341375
yaw: -162.21927939528345, pitch: -11.245938423889694, roll: -3.651341318587903
yaw: -162.05119858591235, pitch: -12.12267135572238, roll: -4.244638635493451
yaw: -162.08465279619583, pitch: -12.573338271993709, roll: -4.968639002878302
yaw: -162.14412128348914, pitch: -14.349747353025188, roll: -5.798911952695651
yaw: -162.69126911335357, pitch: -16.78382102984301, roll: -6.47366389925519
yaw: -162.14591937191318, pitch: -18.261798293549695, roll: -7.095266874184064
yaw: -163.29883028642624, pitch: -20.247772363819266, roll: -7.427089001445375
yaw: -163.34783752902214, pitch: -21.789267244051498, roll: -7.505294231418268
yaw: -163.2644809265842, pitch: -22.854030565159054, roll: -7.734476779961713
yaw: -162.90485026149162, pitch: -24.022243933851446, roll: -8.27337255312602
yaw: -162.22342098309684, pitch: -25.196534073375354, roll: -8.641484247467476
yaw: -161.00188244082784, pitch: -26.039550035429098, roll: -9.178608613160524
yaw: -159.79082016782584, pitch: -26.643779752448697, roll: -9.755967385892104
yaw: -158.31990620211783, pitch: -27.4281237450732, roll: -10.637279737649127
yaw: -157.01967770829816, pitch: -28.78127309063353, roll: -11.66093953576137
yaw: -155.45443916745285, pitch: -29.480225059291953, roll: -12.91487678799325
yaw: -154.28505613395706, pitch: -30.438933593629923, roll: -14.074815186862214
yaw: -153.71397904377017, pitch: -31.6567846299561, roll: -15.128279277046133
yaw: -152.91758957962114, pitch: -32.57938855811628, roll: -15.950920940541463
yaw: -152.283840556714, pitch: -34.033772619645745, roll: -16.902748842399657
yaw: -152.21622636046652, pitch: -34.98449858574506, roll: -17.540777537912412
yaw: -152.63195057720174, pitch: -36.457989387124556, roll: -18.395119272923917
yaw: -152.8138821971339, pitch: -37.205917957029506, roll: -18.83100984798756
yaw: -152.69638779172533, pitch: -38.32883386664485, roll: -19.679063053908312
yaw: -152.8171596062592, pitch: -38.98954258419569, roll: -20.298005137557105
yaw: -153.50632337487892, pitch: -40.83000614025116, roll: -20.738260829019442
yaw: -153.01447839810717, pitch: -41.23068271808542, roll: -21.211618149029018
yaw: -152.89723752625824, pitch: -41.94075291261949, roll: -21.927354104775826
yaw: -152.28730103020064, pitch: -42.41936510932666, roll: -22.700413813524264
yaw: -151.3777018491478, pitch: -43.003681114240294, roll: -23.21326018398148
yaw: -150.02961062502328, pitch: -43.632332798906724, roll: -24.367713865858953
yaw: -148.86940098256156, pitch: -43.69301992496871, roll: -24.80433118771066
yaw: -147.63552255586697, pitch: -43.7309017632047, roll: -25.441014475582676
yaw: -145.9237753063014, pitch: -44.60145982129138, roll: -26.670526338024974
yaw: -144.45309199078392, pitch: -44.61207599212569, roll: -27.608679888138045
yaw: -142.92451249202264, pitch: -44.89210322293576, roll: -28.478245034798782
yaw: -141.30500924635155, pitch: -45.40213854870026, roll: -29.007590855237186
yaw: -139.3056297111432, pitch: -46.155024542833075, roll: -30.252798973623598
